0001,07.10.2015,18,30,40,48,52,09
0002,10.10.2015,12,27,29,43,68,01
0003,14.10.2015,15,20,29,31,40,01
0004,17.10.2015,48,49,57,62,69,19
0005,21.10.2015,30,32,42,56,57,11
0006,24.10.2015,20,31,56,60,64,02
0007,28.10.2015,04,54,56,62,63,10
0008,31.10.2015,09,20,25,47,68,07
0009,04.11.2015,02,12,17,20,65,17
0010,07.11.2015,07,16,25,50,53,15
0011,11.11.2015,04,26,32,55,64,18
0012,14.11.2015,14,22,37,45,66,05
0013,18.11.2015,17,40,41,46,69,06
0014,21.11.2015,37,47,50,52,57,21
0015,25.11.2015,16,29,53,58,69,21
0016,28.11.2015,02,06,47,66,67,02
0017,02.12.2015,14,18,19,32,64,09
0018,05.12.2015,13,27,33,47,68,13
0019,09.12.2015,07,10,16,46,56,01
0020,12.12.2015,02,14,19,30,62,22
0021,16.12.2015,09,10,32,42,55,06
0022,19.12.2015,28,30,41,59,68,10
0023,23.12.2015,16,38,55,63,67,25
0024,26.12.2015,27,40,44,59,65,20
0025,30.12.2015,12,36,38,54,61,22
0026,02.01.2016,05,06,15,29,42,10
0027,06.01.2016,02,11,47,62,63,17
0028,09.01.2016,16,19,32,34,57,13
0029,13.01.2016,04,08,19,27,34,10
0030,16.01.2016,03,51,52,61,64,06
0031,20.01.2016,05,39,44,47,69,24
0032,23.01.2016,22,32,34,40,69,19
0033,27.01.2016,03,12,40,52,67,21
0034,30.01.2016,05,12,16,31,43,18
0035,03.02.2016,26,28,31,60,67,23
0036,06.02.2016,04,13,31,36,52,08
0037,10.02.2016,02,03,40,50,62,05
0038,13.02.2016,07,15,18,19,36,20
0039,17.02.2016,07,17,27,29,40,25
0040,20.02.2016,11,12,15,16,54,25
0041,24.02.2016,21,31,64,65,67,05
0042,27.02.2016,10,11,21,22,53,18
0043,02.03.2016,12,13,44,52,62,06
0044,05.03.2016,03,27,34,59,69,19
0045,09.03.2016,14,23,32,34,68,03
0046,12.03.2016,11,28,50,57,62,23
0047,16.03.2016,10,12,13,46,50,21
0048,19.03.2016,11,23,43,54,60,03
0049,23.03.2016,05,08,15,22,49,25
0050,26.03.2016,11,23,42,52,68,06
0051,30.03.2016,24,44,53,55,63,19
0052,02.04.2016,09,28,30,40,61,03
0053,06.04.2016,04,28,49,60,65,25
0054,09.04.2016,14,22,23,41,61,09
0055,13.04.2016,30,33,35,38,64,22
0056,16.04.2016,03,18,25,32,51,03
0057,20.04.2016,12,25,30,52,62,08
0058,23.04.2016,19,35,46,59,62,13
0059,27.04.2016,02,25,33,39,64,17
0060,30.04.2016,03,12,16,32,34,14
0061,04.05.2016,30,47,57,66,69,03
0062,07.05.2016,05,25,26,44,66,09
0063,11.05.2016,20,32,52,66,69,23
0064,14.05.2016,13,27,47,64,65,09
0065,18.05.2016,23,25,39,54,67,11
0066,21.05.2016,05,07,09,23,32,26
0067,25.05.2016,11,24,41,59,64,15
0068,28.05.2016,06,33,34,58,59,12
0069,01.06.2016,23,30,33,40,69,12
0070,04.06.2016,16,20,22,43,64,17
0071,08.06.2016,12,25,37,60,69,20
0072,11.06.2016,20,27,36,41,58,07
0073,15.06.2016,04,22,24,31,33,10
0074,18.06.2016,02,23,41,53,63,11
0075,22.06.2016,14,40,42,43,52,17
0076,25.06.2016,03,27,36,56,69,25
0077,29.06.2016,23,29,37,60,64,06
0078,02.07.2016,10,34,39,59,63,04
0079,06.07.2016,02,24,31,57,66,18
0080,09.07.2016,10,28,32,61,64,12
0081,13.07.2016,03,15,29,54,57,10
0082,16.07.2016,11,17,40,50,62,26
0083,20.07.2016,06,25,35,58,66,05
0084,23.07.2016,05,07,23,35,39,11
0085,27.07.2016,10,47,50,65,68,24
0086,30.07.2016,11,17,21,23,32,05
0087,03.08.2016,09,11,27,66,67,02
0088,06.08.2016,20,33,36,47,52,12
0089,10.08.2016,23,56,61,64,67,12
0090,13.08.2016,38,44,60,64,69,06
0091,17.08.2016,33,44,49,50,52,08
0092,20.08.2016,03,06,21,60,68,24
0093,24.08.2016,09,11,25,64,65,16
0094,27.08.2016,04,32,48,49,63,20
0095,31.08.2016,05,10,24,56,61,12
0096,03.09.2016,07,39,50,59,67,25
0097,07.09.2016,22,23,29,33,55,21
0098,10.09.2016,03,17,49,55,68,08
0099,14.09.2016,10,11,23,28,31,14
0100,17.09.2016,09,19,51,55,62,14
0101,21.09.2016,01,28,63,67,69,17
0102,24.09.2016,07,15,20,29,41,22
0103,28.09.2016,30,38,52,53,62,01
0104,01.10.2016,02,12,50,61,64,01
0105,05.10.2016,08,18,27,29,60,15
0106,08.10.2016,03,54,61,64,68,09
0107,12.10.2016,16,30,34,37,44,16
0108,15.10.2016,23,49,57,64,67,20
0109,19.10.2016,10,16,38,43,63,23
0110,22.10.2016,01,28,33,55,56,22
0111,26.10.2016,02,03,16,48,56,24
0112,29.10.2016,19,20,21,42,48,23
0113,02.11.2016,13,18,37,54,61,05
0114,05.11.2016,21,31,50,51,69,08
0115,09.11.2016,01,25,28,31,54,02
0116,12.11.2016,08,17,20,27,52,24
0117,16.11.2016,28,41,61,63,65,07
0118,19.11.2016,16,24,28,43,61,21
0119,23.11.2016,07,32,41,47,61,03
0120,26.11.2016,17,19,21,37,44,16
0121,30.11.2016,03,14,18,25,45,07
0122,03.12.2016,08,10,26,27,33,22
0123,07.12.2016,41,48,49,53,64,20
0124,10.12.2016,12,21,32,44,66,15
0125,14.12.2016,18,26,37,39,66,15
0126,17.12.2016,01,08,16,40,48,10
0127,21.12.2016,25,33,40,54,68,03
0128,24.12.2016,28,38,42,51,52,21
0129,28.12.2016,16,23,30,44,58,04
0130,31.12.2016,01,03,28,57,67,09
0131,04.01.2017,16,17,29,41,42,04
0132,07.01.2017,03,12,24,37,63,10
0133,11.01.2017,01,03,13,16,43,24
0134,14.01.2017,23,55,59,64,69,13
0135,18.01.2017,09,40,41,53,58,12
0136,21.01.2017,23,25,45,52,67,02
0137,25.01.2017,18,28,62,66,68,22
0138,28.01.2017,12,20,39,49,69,17
0139,01.02.2017,09,43,57,60,64,10
0140,04.02.2017,06,13,16,17,52,25
0141,08.02.2017,14,20,42,49,66,05
0142,11.02.2017,05,09,17,37,64,02
0143,15.02.2017,05,28,33,38,42,19
0144,18.02.2017,03,07,09,31,33,20
0145,22.02.2017,10,13,28,52,61,02
0146,25.02.2017,06,32,47,62,65,19
0147,01.03.2017,10,16,40,52,55,17
0148,04.03.2017,02,18,19,22,63,19
0149,08.03.2017,23,33,42,46,59,04
0150,11.03.2017,01,26,41,50,57,11
0151,15.03.2017,16,30,41,48,53,16
0152,18.03.2017,13,25,44,54,67,05
0153,22.03.2017,02,09,27,29,42,09
0154,25.03.2017,18,31,32,45,48,16
0155,29.03.2017,08,15,31,36,62,11
0156,01.04.2017,09,32,36,44,65,01
0157,05.04.2017,08,20,46,53,54,13
0158,08.04.2017,23,36,51,53,60,15
0159,12.04.2017,08,14,61,63,68,24
0160,15.04.2017,05,22,26,45,61,13
0161,19.04.2017,01,19,37,40,52,15
0162,22.04.2017,21,39,41,48,63,06
0163,26.04.2017,01,15,18,26,51,26
0164,29.04.2017,22,23,24,45,62,05
0165,03.05.2017,17,18,49,59,66,09
0166,06.05.2017,11,21,31,41,59,21
0167,10.05.2017,29,31,46,56,62,08
0168,13.05.2017,17,20,32,63,68,19
0169,17.05.2017,04,11,39,45,48,09
0170,20.05.2017,05,22,45,47,54,03
0171,24.05.2017,28,32,33,38,62,15
0172,27.05.2017,05,10,28,55,67,09
0173,31.05.2017,04,33,39,46,60,06
0174,03.06.2017,03,09,21,41,54,25
0175,07.06.2017,05,21,57,66,69,13
0176,14.06.2017,05,22,43,57,63,24
0177,17.06.2017,10,13,32,53,62,21
0178,21.06.2017,14,46,61,65,68,13
0179,24.06.2017,10,22,32,36,58,10
0180,28.06.2017,29,37,46,53,68,08
0181,01.07.2017,19,42,45,48,53,16
0182,05.07.2017,04,09,16,54,68,21
0183,08.07.2017,08,10,29,40,59,26
0184,12.07.2017,01,02,18,23,61,09
0185,15.07.2017,09,40,63,64,66,17
0186,19.07.2017,50,51,59,61,63,04
0187,22.07.2017,05,32,44,53,60,09
0188,26.07.2017,07,19,21,42,69,12
0189,29.07.2017,01,28,40,45,48,12
0190,02.08.2017,01,16,54,63,69,18
0191,05.08.2017,11,21,28,33,45,11
0192,09.08.2017,12,30,36,47,62,09
0193,12.08.2017,20,24,26,35,49,19
0194,16.08.2017,09,15,43,60,64,04
0195,19.08.2017,17,19,39,43,68,13
0196,23.08.2017,06,07,16,23,26,04
0197,26.08.2017,07,15,32,38,66,15
0198,30.08.2017,19,28,43,67,69,07
0199,02.09.2017,06,21,41,52,62,26
0200,06.09.2017,08,14,32,58,67,17
0201,09.09.2017,06,20,29,57,59,22
0202,13.09.2017,17,24,35,57,63,19
0203,16.09.2017,17,18,24,25,31,24
0204,20.09.2017,39,48,53,67,68,26
0205,23.09.2017,24,45,55,56,57,19
0206,27.09.2017,08,10,21,23,25,22
0207,30.09.2017,08,12,25,41,64,15
0208,04.10.2017,22,23,62,63,66,24
0209,07.10.2017,10,49,61,63,65,07
0210,11.10.2017,01,03,13,19,69,23
0211,14.10.2017,32,37,56,66,69,11
0212,18.10.2017,30,49,54,66,69,08
0213,21.10.2017,14,41,42,45,69,04
0214,25.10.2017,18,22,29,54,57,08
0215,28.10.2017,27,35,38,57,66,10
0216,01.11.2017,03,06,19,26,44,01
0217,04.11.2017,12,14,26,48,51,13
0218,08.11.2017,12,14,20,21,34,22
0219,11.11.2017,04,06,16,30,56,18
0220,15.11.2017,23,32,44,48,50,25
0221,18.11.2017,17,28,31,32,39,26
0222,22.11.2017,35,37,46,51,61,13
0223,25.11.2017,08,13,27,53,54,04
0224,29.11.2017,24,26,28,59,63,16
0225,02.12.2017,28,30,32,36,58,06
0226,06.12.2017,19,20,50,55,62,09
0227,09.12.2017,25,36,37,55,60,06
0228,13.12.2017,02,24,28,51,58,07
0229,16.12.2017,09,35,37,50,63,11
0230,20.12.2017,01,20,61,64,69,20
0231,23.12.2017,01,03,13,15,44,25
0232,27.12.2017,03,09,16,56,60,03
0233,30.12.2017,28,36,41,51,58,24
0234,03.01.2018,02,18,37,39,42,12
0235,06.01.2018,12,29,30,33,61,26
0236,10.01.2018,07,24,33,49,50,04
0237,13.01.2018,14,25,35,58,69,24
0238,17.01.2018,03,33,37,51,57,21
0239,20.01.2018,26,28,47,49,58,03
0240,24.01.2018,05,09,11,33,64,21
0241,27.01.2018,17,21,26,47,54,07
0242,31.01.2018,04,07,14,46,59,22
0243,03.02.2018,15,23,27,48,53,06
0244,07.02.2018,23,34,35,40,47,10
0245,10.02.2018,01,13,27,41,59,20
0246,14.02.2018,37,39,44,46,69,26
0247,17.02.2018,13,26,39,44,62,02
0248,21.02.2018,07,15,31,34,36,08
0249,24.02.2018,24,25,38,62,63,06
0250,28.02.2018,12,30,59,65,69,16
0251,03.03.2018,13,17,25,36,40,05
0252,07.03.2018,06,13,19,36,51,18
0253,10.03.2018,43,44,54,61,69,22
0254,14.03.2018,06,12,24,41,68,09
0255,17.03.2018,22,57,59,60,66,07
0256,21.03.2018,03,04,18,29,61,25
0257,24.03.2018,10,33,45,53,56,24
0258,28.03.2018,06,08,26,52,53,21
0259,31.03.2018,08,24,52,55,61,21
0260,04.04.2018,08,24,42,54,64,24
